,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,25082,04,06,09,14,32,33,11
1,25081,03,06,18,20,23,28,05
2,25080,03,07,08,10,16,19,05
3,25079,08,11,14,15,30,32,05
4,25078,06,15,17,30,32,33,14
5,25077,04,07,08,15,20,21,15
6,25076,02,06,09,12,14,30,08
7,25075,10,12,14,19,20,21,15
8,25074,03,04,12,20,32,33,13
9,25073,02,07,10,27,30,33,11
10,25072,02,14,17,25,27,29,05
11,25071,01,12,18,23,25,28,07
12,25070,02,03,15,21,22,33,06
13,25069,02,04,19,23,27,30,05
14,25068,05,07,08,19,20,31,07
15,25067,01,05,10,17,20,22,05
16,25066,06,22,24,27,28,30,04
17,25065,06,10,13,14,15,20,11
18,25064,02,10,13,22,29,33,16
19,25063,02,19,21,22,28,30,01
20,25062,06,08,09,13,25,31,14
21,25061,06,07,09,10,11,32,09
22,25060,06,14,18,25,28,30,01
23,25059,04,10,11,12,13,24,01
24,25058,02,06,07,09,10,20,06
25,25057,04,09,15,16,25,30,14
26,25056,01,02,10,14,28,31,03
27,25055,02,05,22,27,29,33,12
28,25054,05,07,10,21,24,27,16
29,25053,06,09,10,13,30,33,07
30,25052,06,07,10,17,20,26,09
31,25051,01,02,03,04,17,22,01
32,25050,09,12,15,18,22,33,16
33,25049,03,06,19,27,29,33,11
34,25048,16,21,22,23,27,31,10
35,25047,01,14,21,22,23,31,12
36,25046,02,03,10,16,29,33,01
37,25045,02,14,19,24,29,33,13
38,25044,02,03,07,08,14,28,11
39,25043,03,12,16,19,20,32,13
40,25042,07,13,19,23,27,33,12
41,25041,06,10,17,19,25,31,06
42,25040,02,06,08,09,10,24,11
43,25039,08,10,12,15,17,23,11
44,25038,06,19,20,23,26,33,09
45,25037,03,06,11,20,21,31,02
46,25036,05,11,13,16,19,32,07
47,25035,01,08,16,18,25,31,01
48,25034,05,08,13,14,24,26,12
49,25033,03,05,18,25,26,33,08
50,25032,03,08,10,14,16,21,03
51,25031,01,05,06,08,23,28,01
52,25030,04,06,07,30,31,33,06
